Track ID,Name,Artist,Album Artist,Album,Genre,Comments,Kind,Size,Total Time,Track Number,Year,Bit Rate,Track Count,Composer,Publisher,Location,File Folder Count,Library Folder Count,Date Modified,Date Added
37,LH05 - Satura,Lacrimosa,Lacrimosa,The Live History,,,MPEG audio file,6943232,433000,,,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH05%20-%20Satura.mp3,-1,-1,2009-08-26T03:46:36Z,2023-10-23T02:03:09Z
38,LH06 - Copycat,Lacrimosa,Lacrimosa,The Live History,,,MPEG audio file,4061312,253000,,,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH06%20-%20Copycat.mp3,-1,-1,2009-08-26T03:46:37Z,2023-10-23T02:03:09Z
39,LH07 - Versuchung,Lacrimosa,Lacrimosa,The Live History,,,MPEG audio file,6213632,388000,,,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH07%20-%20Versuchung.mp3,-1,-1,2009-08-26T03:46:37Z,2023-10-23T02:03:09Z
40,LH08 - Schakal,Lacrimosa,Lacrimosa,The Live History,,,MPEG audio file,6007040,375000,,,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH08%20-%20Schakal.mp3,-1,-1,2009-08-26T03:46:38Z,2023-10-23T02:03:09Z
41,LH09 - Komet,Lacrimosa,Lacrimosa,The Live History,,,MPEG audio file,6750848,421000,,,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH09%20-%20Komet.mp3,-1,-1,2009-08-26T03:46:41Z,2023-10-23T02:03:09Z
42,LH10 - Halt Mich,Lacrimosa,Lacrimosa,The Live History,Blues,Encoder: DVD Audio Extractor,MPEG audio file,3603968,225000,1,2000,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH10%20-%20Halt%20Mich.mp3,-1,-1,2009-08-26T03:46:42Z,2023-10-23T02:03:09Z
43,LH11 - Medley,Lacrimosa,Lacrimosa,The Live History,Blues,Encoder: DVD Audio Extractor,MPEG audio file,2651264,165000,2,2000,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH11%20-%20Medley.mp3,-1,-1,2009-08-26T03:46:43Z,2023-10-23T02:03:09Z
44,LH12 - Alles Lüge,Lacrimosa,Lacrimosa,The Live History,Blues,Encoder: DVD Audio Extractor,MPEG audio file,5871104,366000,3,2000,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH12%20-%20Alles%20L%C3%BCge.mp3,-1,-1,2009-08-26T03:46:45Z,2023-10-23T02:03:09Z
45,LH13 - The turning point,Lacrimosa,Lacrimosa,The Live History,Blues,Encoder: DVD Audio Extractor,MPEG audio file,3763712,235000,4,2000,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH13%20-%20The%20turning%20point.mp3,-1,-1,2009-08-26T03:46:45Z,2023-10-23T02:03:09Z
46,LH14 - Tränen der Sehnsucht,Lacrimosa,Lacrimosa,The Live History,Blues,Encoder: DVD Audio Extractor,MPEG audio file,4060928,253000,5,2000,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH14%20-%20Tr%C3%A4nen%20der%20Sehnsucht.mp3,-1,-1,2009-08-26T03:46:47Z,2023-10-23T02:03:09Z
47,LH15 - Alleine zu Zweit,Lacrimosa,Lacrimosa,The Live History,Blues,,MPEG audio file,4117555,254000,6,2000,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH15%20-%20Alleine%20zu%20Zweit.mp3,-1,-1,2009-08-26T03:46:47Z,2023-10-23T02:03:09Z
48,LH16 - Am Ende Stehen wir Zwei,Lacrimosa,Lacrimosa,The Live History,Blues,Encoder: DVD Audio Extractor,MPEG audio file,5893760,368000,7,2000,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH16%20-%20Am%20Ende%20Stehen%20wir%20Zwei.mp3,-1,-1,2009-08-26T03:46:49Z,2023-10-23T02:03:09Z
49,LH17 - Stolzes Herz,Lacrimosa,Lacrimosa,The Live History,Blues,Encoder: DVD Audio Extractor,MPEG audio file,10483712,655000,8,2000,128,,,,file://localhost/G:%5CShared%20Music%5C001Lacrimosa%20Live%20History%5CLacrimosa%20-%20LH17%20-%20Stolzes%20Herz.mp3,-1,-1,2009-08-26T03:46:50Z,2023-10-23T02:03:09Z
50,Angel Attack,Neon Genesis Evangelion,Neon Genesis Evangelion,,,,MPEG audio file,2429434,151000,,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Angel%20Attack.mp3,-1,-1,2008-07-04T04:09:35Z,2023-10-23T02:03:09Z
51,Background Music II,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,1514898,94000,7,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Background%20Music%20II.mp3,-1,-1,2008-07-04T04:09:35Z,2023-10-23T02:03:09Z
52,Background Music III,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,2462412,153000,8,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Background%20Music%20III.mp3,-1,-1,2008-07-04T04:09:35Z,2023-10-23T02:03:10Z
53,"Childhood Memories, Shut Away",Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,581177,36000,5,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Childhood%20Memories%2C%20Shut%20Away.mp3,-1,-1,2008-07-04T04:09:35Z,2023-10-23T02:03:10Z
54,Crime of Innocence,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,2341204,146000,12,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Crime%20of%20Innocence.mp3,-1,-1,2008-07-04T04:09:35Z,2023-10-23T02:03:10Z
55,Dance Like You Want To Win,Neon Genesis Evangelion,Neon Genesis Evangelion,,,,MPEG audio file,1795808,112000,,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Dance%20Like%20You%20Want%20To%20Win.mp3,-1,-1,2008-07-04T04:09:35Z,2023-10-23T02:03:10Z
56,Depression,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,2496684,155000,17,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Depression.mp3,-1,-1,2008-07-04T04:09:35Z,2023-10-23T02:03:10Z
57,Do you love me?,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,2259072,141000,14,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Do%20you%20love%20me-.mp3,-1,-1,2008-07-04T04:09:36Z,2023-10-23T02:03:10Z
58,Emergency Evacuation to Regression,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,4132995,258000,3,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Emergency%20Evacuation%20to%20Regression.mp3,-1,-1,2008-07-04T04:09:36Z,2023-10-23T02:03:10Z
59,End of Midsummer,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,2314454,144000,2,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20End%20of%20Midsummer.mp3,-1,-1,2008-07-04T04:09:36Z,2023-10-23T02:03:10Z
60,Escape to the Beginning,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Soundtrack,,MPEG audio file,4810924,300000,9,,128,,,,file://localhost/G:%5CShared%20Music%5C001Neon%20Genesis%20Evangelion%5CNeon%20Genesis%20Evangelion%20-%20Escape%20to%20the%20Beginning.mp3,-1,-1,2008-07-04T04:09:36Z,2023-10-23T02:03:10Z
